tgDataLogger2 started logging at time 04122024_153410, with 30 sensors on 1 senseable objects.
time,0_rod(prism_rod).X,0_rod(prism_rod).Y,0_rod(prism_rod).Z,0_rod(prism_rod).Euler1,0_rod(prism_rod).Euler2,0_rod(prism_rod).Euler3,0_rod(prism_rod).mass,1_rod(prism_rod).X,1_rod(prism_rod).Y,1_rod(prism_rod).Z,1_rod(prism_rod).Euler1,1_rod(prism_rod).Euler2,1_rod(prism_rod).Euler3,1_rod(prism_rod).mass,2_rod(prism_rod).X,2_rod(prism_rod).Y,2_rod(prism_rod).Z,2_rod(prism_rod).Euler1,2_rod(prism_rod).Euler2,2_rod(prism_rod).Euler3,2_rod(prism_rod).mass,3_rod(prism_rod).X,3_rod(prism_rod).Y,3_rod(prism_rod).Z,3_rod(prism_rod).Euler1,3_rod(prism_rod).Euler2,3_rod(prism_rod).Euler3,3_rod(prism_rod).mass,4_rod(prism_rod).X,4_rod(prism_rod).Y,4_rod(prism_rod).Z,4_rod(prism_rod).Euler1,4_rod(prism_rod).Euler2,4_rod(prism_rod).Euler3,4_rod(prism_rod).mass,5_rod(prism_rod).X,5_rod(prism_rod).Y,5_rod(prism_rod).Z,5_rod(prism_rod).Euler1,5_rod(prism_rod).Euler2,5_rod(prism_rod).Euler3,5_rod(prism_rod).mass,6_SCA(springs).RestLen,6_SCA(springs).CurrLen,6_SCA(springs).Tension,7_SCA(springs).RestLen,7_SCA(springs).CurrLen,7_SCA(springs).Tension,8_SCA(springs).RestLen,8_SCA(springs).CurrLen,8_SCA(springs).Tension,9_SCA(springs).RestLen,9_SCA(springs).CurrLen,9_SCA(springs).Tension,10_SCA(springs).RestLen,10_SCA(springs).CurrLen,10_SCA(springs).Tension,11_SCA(springs).RestLen,11_SCA(springs).CurrLen,11_SCA(springs).Tension,12_SCA(springs).RestLen,12_SCA(springs).CurrLen,12_SCA(springs).Tension,13_SCA(springs).RestLen,13_SCA(springs).CurrLen,13_SCA(springs).Tension,14_SCA(springs).RestLen,14_SCA(springs).CurrLen,14_SCA(springs).Tension,15_SCA(springs).RestLen,15_SCA(springs).CurrLen,15_SCA(springs).Tension,16_SCA(springs).RestLen,16_SCA(springs).CurrLen,16_SCA(springs).Tension,17_SCA(springs).RestLen,17_SCA(springs).CurrLen,17_SCA(springs).Tension,18_SCA(springs).RestLen,18_SCA(springs).CurrLen,18_SCA(springs).Tension,19_SCA(springs).RestLen,19_SCA(springs).CurrLen,19_SCA(springs).Tension,20_SCA(springs).RestLen,20_SCA(springs).CurrLen,20_SCA(springs).Tension,21_SCA(springs).RestLen,21_SCA(springs).CurrLen,21_SCA(springs).Tension,22_SCA(springs).RestLen,22_SCA(springs).CurrLen,22_SCA(springs).Tension,23_SCA(springs).RestLen,23_SCA(springs).CurrLen,23_SCA(springs).Tension,24_SCA(springs).RestLen,24_SCA(springs).CurrLen,24_SCA(springs).Tension,25_SCA(springs).RestLen,25_SCA(springs).CurrLen,25_SCA(springs).Tension,26_SCA(activated_cable).RestLen,26_SCA(activated_cable).CurrLen,26_SCA(activated_cable).Tension,27_SCA(activated_cable).RestLen,27_SCA(activated_cable).CurrLen,27_SCA(activated_cable).Tension,28_SCA(activated_cable).RestLen,28_SCA(activated_cable).CurrLen,28_SCA(activated_cable).Tension,29_SCA(activated_cable).RestLen,29_SCA(activated_cable).CurrLen,29_SCA(activated_cable).Tension,
0.0101,-0.481427,3.62213,0.967069,-0.137754,0.0547082,0.731424,0.099995,0.420344,5.50818,-1.29053,-0.137754,0.0547082,0.731424,0.099995,-1.46579,5.01519,-0.359055,-0.301175,-0.13285,-0.833451,0.099995,1.40471,4.11512,0.0355918,-0.301175,-0.13285,-0.833451,0.099995,-0.218373,3.45834,-1.16141,-1.84581,0.179408,0.136537,0.099995,0.15729,5.67197,0.837951,-1.84581,0.179408,0.136537,0.099995,2.76558,2.98708,95.2432,2.76558,2.98632,94.9153,2.76558,2.98598,94.7724,2.76558,2.98554,94.5832,2.76558,2.98706,95.2364,2.76558,2.98708,95.2432,2.76558,2.98632,94.9153,2.76558,2.98598,94.7724,2.76558,2.98554,94.5832,2.76558,2.98706,95.2364,2.76558,2.98706,95.2364,2.76558,2.98598,94.7724,2.76558,2.98554,94.5832,2.76558,2.98706,95.2364,2.76558,2.98554,94.5832,2.76558,2.98598,94.7724,2.76558,2.98708,95.2432,2.76558,2.98632,94.9153,2.76558,2.98632,94.9153,2.76558,2.98708,95.2432,2.99814,3.03065,58.5226,2.99814,3.03065,58.5226,2.99814,3.03065,58.5226,2.99814,3.03065,58.5226,
0.0202,-0.461511,3.64882,0.91721,-0.138887,0.055724,0.731748,0.099995,0.400428,5.45156,-1.24067,-0.138887,0.055724,0.731748,0.099995,-1.39628,4.98024,-0.347986,-0.297848,-0.135843,-0.833897,0.099995,1.3352,4.12014,0.0245227,-0.297848,-0.135843,-0.833897,0.099995,-0.204846,3.50002,-1.10869,-1.84545,0.179359,0.136827,0.099995,0.143763,5.60036,0.785227,-1.84545,0.179359,0.136827,0.099995,2.76558,2.97465,89.8976,2.76558,2.97451,89.8372,2.76558,2.97375,89.5121,2.76558,2.97326,89.3023,2.76558,2.97464,89.8935,2.76558,2.97465,89.8976,2.76558,2.97451,89.8372,2.76558,2.97375,89.5121,2.76558,2.97326,89.3023,2.76558,2.97464,89.8935,2.76558,2.97464,89.8935,2.76558,2.97375,89.5121,2.76558,2.97326,89.3023,2.76558,2.97464,89.8935,2.76558,2.97326,89.3023,2.76558,2.97375,89.5121,2.76558,2.97465,89.8976,2.76558,2.97451,89.8372,2.76558,2.97451,89.8372,2.76558,2.97465,89.8976,2.99814,3.03106,59.2542,2.99814,3.03106,59.2542,2.99814,3.03106,59.2542,2.99814,3.03106,59.2542,
0.0303,-0.432235,3.68509,0.843916,-0.139928,0.0566578,0.732044,0.099995,0.371152,5.36536,-1.16738,-0.139928,0.0566578,0.732044,0.099995,-1.29896,4.92608,-0.3335,-0.301638,-0.132433,-0.83339,0.099995,1.23788,4.12436,0.0100367,-0.301638,-0.132433,-0.83339,0.099995,-0.189096,3.55428,-1.03621,-1.84463,0.179248,0.137476,0.099995,0.128013,5.49617,0.712749,-1.84463,0.179248,0.137476,0.099995,2.76558,2.96471,85.6258,2.76558,2.96478,85.6544,2.76558,2.96377,85.2218,2.76558,2.96328,85.0097,2.76558,2.96477,85.6524,2.76558,2.96471,85.6258,2.76558,2.96478,85.6544,2.76558,2.96377,85.2218,2.76558,2.96328,85.0097,2.76558,2.96477,85.6524,2.76558,2.96477,85.6524,2.76558,2.96377,85.2218,2.76558,2.96328,85.0097,2.76558,2.96477,85.6524,2.76558,2.96328,85.0097,2.76558,2.96377,85.2218,2.76558,2.96471,85.6258,2.76558,2.96478,85.6544,2.76558,2.96478,85.6544,2.76558,2.96471,85.6258,2.99814,3.03144,59.9354,2.99814,3.03144,59.9354,2.99814,3.03144,59.9354,2.99814,3.03144,59.9354,
0.0404,-0.398163,3.72137,0.758616,-0.140339,0.0570265,0.73216,0.099995,0.33708,5.25912,-1.08208,-0.140339,0.0570265,0.73216,0.099995,-1.19065,4.85724,-0.318532,-0.299816,-0.134073,-0.833632,0.099995,1.12957,4.12326,-0.00493135,-0.299816,-0.134073,-0.833632,0.099995,-0.174885,3.60648,-0.957702,-1.84388,0.179146,0.138072,0.099995,0.113802,5.37401,0.634239,-1.84388,0.179146,0.138072,0.099995,2.76558,2.96389,85.2727,2.76558,2.96375,85.2141,2.76558,2.96269,84.7554,2.76558,2.96236,84.613,2.76558,2.96383,85.2459,2.76558,2.96389,85.2727,2.76558,2.96375,85.2141,2.76558,2.96269,84.7554,2.76558,2.96236,84.613,2.76558,2.96383,85.2459,2.76558,2.96383,85.2459,2.76558,2.96269,84.7554,2.76558,2.96236,84.613,2.76558,2.96383,85.2459,2.76558,2.96236,84.613,2.76558,2.96269,84.7554,2.76558,2.96389,85.2727,2.76558,2.96375,85.2141,2.76558,2.96375,85.2141,2.76558,2.96389,85.2727,2.99814,3.03254,61.9167,2.99814,3.03254,61.9167,2.99814,3.03254,61.9167,2.99814,3.03254,61.9167,
0.0505,-0.366891,3.74179,0.680327,-0.140122,0.0568314,0.732099,0.099995,0.305808,5.14874,-1.00379,-0.140122,0.0568314,0.732099,0.099995,-1.09482,4.78119,-0.306202,-0.299388,-0.134458,-0.83369,0.099995,1.03374,4.10934,-0.0172608,-0.299388,-0.134458,-0.83369,0.099995,-0.164948,3.63678,-0.890847,-1.84346,0.179088,0.138406,0.099995,0.103865,5.25375,0.567384,-1.84346,0.179088,0.138406,0.099995,2.76558,2.97257,89.0065,2.76558,2.97135,88.4816,2.76558,2.97048,88.1041,2.76558,2.96998,87.8911,2.76558,2.97213,88.8161,2.76558,2.97257,89.0065,2.76558,2.97135,88.4816,2.76558,2.97048,88.1041,2.76558,2.96998,87.8911,2.76558,2.97213,88.8161,2.76558,2.97213,88.8161,2.76558,2.97048,88.1041,2.76558,2.96998,87.8911,2.76558,2.97213,88.8161,2.76558,2.96998,87.8911,2.76558,2.97048,88.1041,2.76558,2.97257,89.0065,2.76558,2.97135,88.4816,2.76558,2.97135,88.4816,2.76558,2.97257,89.0065,2.99814,3.0344,65.2757,2.99814,3.0344,65.2757,2.99814,3.0344,65.2757,2.99814,3.0344,65.2757,
0.0606,-0.348241,3.72581,0.633636,-0.139865,0.0566007,0.732026,0.099995,0.287158,5.05474,-0.957099,-0.139865,0.0566007,0.732026,0.099995,-1.039,4.70765,-0.299408,-0.302049,-0.132064,-0.833336,0.099995,0.977916,4.0729,-0.0240553,-0.302049,-0.132064,-0.833336,0.099995,-0.160235,3.62439,-0.853375,-1.84326,0.17906,0.13857,0.099995,0.0991516,5.15616,0.529912,-1.84326,0.17906,0.13857,0.099995,2.76558,2.98193,93.0302,2.76558,2.97929,91.8964,2.76558,2.97855,91.5769,2.76558,2.9773,91.0406,2.76558,2.981,92.6303,2.76558,2.98193,93.0302,2.76558,2.97929,91.8964,2.76558,2.97855,91.5769,2.76558,2.9773,91.0406,2.76558,2.981,92.6303,2.76558,2.981,92.6303,2.76558,2.97855,91.5769,2.76558,2.9773,91.0406,2.76558,2.981,92.6303,2.76558,2.9773,91.0406,2.76558,2.97855,91.5769,2.76558,2.98193,93.0302,2.76558,2.97929,91.8964,2.76558,2.97929,91.8964,2.76558,2.98193,93.0302,2.99814,3.03621,68.5248,2.99814,3.03621,68.5248,2.99814,3.03621,68.5248,2.99814,3.03621,68.5248,
0.0707,-0.347139,3.66312,0.630876,-0.140105,0.0568165,0.732094,0.099995,0.286056,4.98744,-0.954339,-0.140105,0.0568165,0.732094,0.099995,-1.03604,4.64149,-0.299197,-0.301045,-0.132967,-0.833469,0.099995,0.974957,4.00907,-0.0242661,-0.301045,-0.132967,-0.833469,0.099995,-0.160196,3.56169,-0.851437,-1.84296,0.179019,0.138808,0.099995,0.0991126,5.08887,0.527973,-1.84296,0.179019,0.138808,0.099995,2.76558,2.98305,93.5107,2.76558,2.97939,91.9358,2.76558,2.97866,91.623,2.76558,2.97659,90.7317,2.76558,2.9818,92.9723,2.76558,2.98305,93.5107,2.76558,2.97939,91.9358,2.76558,2.97866,91.623,2.76558,2.97659,90.7317,2.76558,2.9818,92.9723,2.76558,2.9818,92.9723,2.76558,2.97866,91.623,2.76558,2.97659,90.7317,2.76558,2.9818,92.9723,2.76558,2.97659,90.7317,2.76558,2.97866,91.623,2.76558,2.98305,93.5107,2.76558,2.97939,91.9358,2.76558,2.97939,91.9358,2.76558,2.98305,93.5107,2.99814,3.03716,70.2308,2.99814,3.03716,70.2308,2.99814,3.03716,70.2308,2.99814,3.03716,70.2308,
0.0808,-0.361232,3.55864,0.666158,-0.140727,0.0573745,0.73227,0.099995,0.300149,4.94191,-0.989622,-0.140727,0.0573745,0.73227,0.099995,-1.07857,4.58046,-0.304513,-0.300465,-0.133489,-0.833546,0.099995,1.01749,3.92009,-0.0189501,-0.300465,-0.133489,-0.833546,0.099995,-0.164011,3.45486,-0.879547,-1.84257,0.178965,0.139117,0.099995,0.102928,5.04569,0.556084,-1.84257,0.178965,0.139117,0.099995,2.76558,2.9764,90.6498,2.76558,2.97215,88.8244,2.76558,2.97152,88.5539,2.76558,2.96912,87.5197,2.76558,2.97502,90.0577,2.76558,2.9764,90.6498,2.76558,2.97215,88.8244,2.76558,2.97152,88.5539,2.76558,2.96912,87.5197,2.76558,2.97502,90.0577,2.76558,2.97502,90.0577,2.76558,2.97152,88.5539,2.76558,2.96912,87.5197,2.76558,2.97502,90.0577,2.76558,2.96912,87.5197,2.76558,2.97152,88.5539,2.76558,2.9764,90.6498,2.76558,2.97215,88.8244,2.76558,2.97215,88.8244,2.76558,2.9764,90.6498,2.99814,3.03731,70.5026,2.99814,3.03731,70.5026,2.99814,3.03731,70.5026,2.99814,3.03731,70.5026,
0.0909,-0.385403,3.42307,0.726672,-0.141278,0.0578693,0.732426,0.099995,0.32432,4.90745,-1.05013,-0.141278,0.0578693,0.732426,0.099995,-1.15198,4.51939,-0.313828,-0.301652,-0.13242,-0.833388,0.099995,1.0909,3.81113,-0.00963474,-0.301652,-0.13242,-0.833388,0.099995,-0.171092,3.31359,-0.929376,-1.84248,0.178953,0.139187,0.099995,0.110009,5.01693,0.605913,-1.84248,0.178953,0.139187,0.099995,2.76558,2.96829,87.1662,2.76558,2.9638,85.2345,2.76558,2.96327,85.0038,2.76558,2.96106,84.0564,2.76558,2.96681,86.5291,2.76558,2.96829,87.1662,2.76558,2.9638,85.2345,2.76558,2.96327,85.0038,2.76558,2.96106,84.0564,2.76558,2.96681,86.5291,2.76558,2.96681,86.5291,2.76558,2.96327,85.0038,2.76558,2.96106,84.0564,2.76558,2.96681,86.5291,2.76558,2.96106,84.0564,2.76558,2.96327,85.0038,2.76558,2.96829,87.1662,2.76558,2.9638,85.2345,2.76558,2.9638,85.2345,2.76558,2.96829,87.1662,2.99814,3.03724,70.3848,2.99814,3.03724,70.3848,2.99814,3.03724,70.3848,2.99814,3.03724,70.3848,
0.101,-0.410915,3.32223,0.796278,-0.0635977,0.139579,0.766405,0.099995,0.35613,4.87542,-1.12163,-0.136562,0.0644181,0.732901,0.099995,-1.23813,4.4583,-0.321577,-0.280549,-0.148102,-0.837412,0.099995,1.17667,3.69337,-0.00304996,-0.321755,-0.121074,-0.829406,0.099995,-0.177959,3.15872,-0.988571,-1.85367,0.1011,0.136442,0.099995,0.121657,4.99612,0.680612,-1.85289,0.121684,0.135805,0.099995,2.76558,2.97458,89.8695,2.76558,2.96437,85.4809,2.76558,2.96019,83.6804,2.76558,2.88185,49.9961,2.76558,2.96776,86.9344,2.76558,2.97029,88.0248,2.76558,2.95489,81.4045,2.76558,2.96281,84.8095,2.76558,2.96085,83.9653,2.76558,2.95726,82.4231,2.76558,2.96469,85.617,2.76558,2.97304,89.2057,2.76558,2.97994,92.1751,2.76558,2.97193,88.7279,2.76558,2.95925,83.2759,2.76558,2.96174,84.3485,2.76558,2.96661,86.4403,2.76558,2.96968,87.7604,2.76558,2.95871,83.0461,2.76558,2.97463,89.8927,2.99814,3.016,32.1527,2.99814,3.03786,71.4924,2.99814,3.05517,102.66,2.99814,3.03744,70.7474,
