tgDataLogger2 started logging at time 04122024_153227, with 30 sensors on 1 senseable objects.
time,0_rod(prism_rod).X,0_rod(prism_rod).Y,0_rod(prism_rod).Z,0_rod(prism_rod).Euler1,0_rod(prism_rod).Euler2,0_rod(prism_rod).Euler3,0_rod(prism_rod).mass,1_rod(prism_rod).X,1_rod(prism_rod).Y,1_rod(prism_rod).Z,1_rod(prism_rod).Euler1,1_rod(prism_rod).Euler2,1_rod(prism_rod).Euler3,1_rod(prism_rod).mass,2_rod(prism_rod).X,2_rod(prism_rod).Y,2_rod(prism_rod).Z,2_rod(prism_rod).Euler1,2_rod(prism_rod).Euler2,2_rod(prism_rod).Euler3,2_rod(prism_rod).mass,3_rod(prism_rod).X,3_rod(prism_rod).Y,3_rod(prism_rod).Z,3_rod(prism_rod).Euler1,3_rod(prism_rod).Euler2,3_rod(prism_rod).Euler3,3_rod(prism_rod).mass,4_rod(prism_rod).X,4_rod(prism_rod).Y,4_rod(prism_rod).Z,4_rod(prism_rod).Euler1,4_rod(prism_rod).Euler2,4_rod(prism_rod).Euler3,4_rod(prism_rod).mass,5_rod(prism_rod).X,5_rod(prism_rod).Y,5_rod(prism_rod).Z,5_rod(prism_rod).Euler1,5_rod(prism_rod).Euler2,5_rod(prism_rod).Euler3,5_rod(prism_rod).mass,6_SCA(springs).RestLen,6_SCA(springs).CurrLen,6_SCA(springs).Tension,7_SCA(springs).RestLen,7_SCA(springs).CurrLen,7_SCA(springs).Tension,8_SCA(springs).RestLen,8_SCA(springs).CurrLen,8_SCA(springs).Tension,9_SCA(springs).RestLen,9_SCA(springs).CurrLen,9_SCA(springs).Tension,10_SCA(springs).RestLen,10_SCA(springs).CurrLen,10_SCA(springs).Tension,11_SCA(springs).RestLen,11_SCA(springs).CurrLen,11_SCA(springs).Tension,12_SCA(springs).RestLen,12_SCA(springs).CurrLen,12_SCA(springs).Tension,13_SCA(springs).RestLen,13_SCA(springs).CurrLen,13_SCA(springs).Tension,14_SCA(springs).RestLen,14_SCA(springs).CurrLen,14_SCA(springs).Tension,15_SCA(springs).RestLen,15_SCA(springs).CurrLen,15_SCA(springs).Tension,16_SCA(springs).RestLen,16_SCA(springs).CurrLen,16_SCA(springs).Tension,17_SCA(springs).RestLen,17_SCA(springs).CurrLen,17_SCA(springs).Tension,18_SCA(springs).RestLen,18_SCA(springs).CurrLen,18_SCA(springs).Tension,19_SCA(springs).RestLen,19_SCA(springs).CurrLen,19_SCA(springs).Tension,20_SCA(springs).RestLen,20_SCA(springs).CurrLen,20_SCA(springs).Tension,21_SCA(springs).RestLen,21_SCA(springs).CurrLen,21_SCA(springs).Tension,22_SCA(springs).RestLen,22_SCA(springs).CurrLen,22_SCA(springs).Tension,23_SCA(springs).RestLen,23_SCA(springs).CurrLen,23_SCA(springs).Tension,24_SCA(springs).RestLen,24_SCA(springs).CurrLen,24_SCA(springs).Tension,25_SCA(springs).RestLen,25_SCA(springs).CurrLen,25_SCA(springs).Tension,26_SCA(activated_cable).RestLen,26_SCA(activated_cable).CurrLen,26_SCA(activated_cable).Tension,27_SCA(activated_cable).RestLen,27_SCA(activated_cable).CurrLen,27_SCA(activated_cable).Tension,28_SCA(activated_cable).RestLen,28_SCA(activated_cable).CurrLen,28_SCA(activated_cable).Tension,29_SCA(activated_cable).RestLen,29_SCA(activated_cable).CurrLen,29_SCA(activated_cable).Tension,
0.0101,-0.481405,3.62218,0.967015,-0.137812,0.05476,0.731441,0.099995,0.420322,5.50813,-1.29048,-0.137812,0.05476,0.731441,0.099995,-1.46569,5.01517,-0.359033,-0.301196,-0.132831,-0.833449,0.099995,1.4046,4.11514,0.0355696,-0.301196,-0.132831,-0.833449,0.099995,-0.218305,3.45842,-1.16132,-1.84577,0.179403,0.13657,0.099995,0.157222,5.67188,0.837853,-1.84577,0.179403,0.13657,0.099995,2.67556,2.98714,96.5887,2.67556,2.98624,96.3109,2.67556,2.98586,96.1934,2.67556,2.9853,96.0208,2.67556,2.98708,96.5709,2.67556,2.98714,96.5887,2.67556,2.98624,96.3109,2.67556,2.98586,96.1934,2.67556,2.9853,96.0208,2.67556,2.98708,96.5709,2.67556,2.98708,96.5709,2.67556,2.98586,96.1934,2.67556,2.9853,96.0208,2.67556,2.98708,96.5709,2.67556,2.9853,96.0208,2.67556,2.98586,96.1934,2.67556,2.98714,96.5887,2.67556,2.98624,96.3109,2.67556,2.98624,96.3109,2.67556,2.98714,96.5887,2.99814,3.03091,58.982,2.99814,3.03091,58.982,2.99814,3.03091,58.982,2.99814,3.03091,58.982,
0.0202,-0.461266,3.64934,0.916596,-0.138969,0.0557977,0.731771,0.099995,0.400183,5.45105,-1.24006,-0.138969,0.0557977,0.731771,0.099995,-1.39539,4.97998,-0.347849,-0.297855,-0.135837,-0.833896,0.099995,1.33431,4.1204,0.0243859,-0.297855,-0.135837,-0.833896,0.099995,-0.204644,3.50074,-1.10801,-1.84539,0.179351,0.136874,0.099995,0.143561,5.59965,0.784547,-1.84539,0.179351,0.136874,0.099995,2.67556,2.97461,92.7059,2.67556,2.97432,92.6168,2.67556,2.97348,92.3568,2.67556,2.97287,92.166,2.67556,2.97456,92.6897,2.67556,2.97461,92.7059,2.67556,2.97432,92.6168,2.67556,2.97348,92.3568,2.67556,2.97287,92.166,2.67556,2.97456,92.6897,2.67556,2.97456,92.6897,2.67556,2.97348,92.3568,2.67556,2.97287,92.166,2.67556,2.97456,92.6897,2.67556,2.97287,92.166,2.67556,2.97348,92.3568,2.67556,2.97461,92.7059,2.67556,2.97432,92.6168,2.67556,2.97432,92.6168,2.67556,2.97461,92.7059,2.99814,3.03138,59.8283,2.99814,3.03138,59.8283,2.99814,3.03138,59.8283,2.99814,3.03138,59.8283,
0.0303,-0.43149,3.68664,0.84205,-0.140038,0.056756,0.732075,0.099995,0.370407,5.3638,-1.16551,-0.140038,0.056756,0.732075,0.099995,-1.29643,4.92531,-0.333138,-0.301504,-0.132554,-0.833408,0.099995,1.23535,4.12514,0.00967439,-0.301504,-0.132554,-0.833408,0.099995,-0.188663,3.55631,-1.03434,-1.84455,0.179237,0.137542,0.099995,0.12758,5.49413,0.710876,-1.84455,0.179237,0.137542,0.099995,2.67556,2.96466,89.6218,2.67556,2.96458,89.5977,2.67556,2.96344,89.2434,2.67556,2.9628,89.0444,2.67556,2.96468,89.628,2.67556,2.96466,89.6218,2.67556,2.96458,89.5977,2.67556,2.96344,89.2434,2.67556,2.9628,89.0444,2.67556,2.96468,89.628,2.67556,2.96468,89.628,2.67556,2.96344,89.2434,2.67556,2.9628,89.0444,2.67556,2.96468,89.628,2.67556,2.9628,89.0444,2.67556,2.96344,89.2434,2.67556,2.96466,89.6218,2.67556,2.96458,89.5977,2.67556,2.96458,89.5977,2.67556,2.96466,89.6218,2.99814,3.03189,60.7485,2.99814,3.03189,60.7485,2.99814,3.03189,60.7485,2.99814,3.03189,60.7485,
0.0404,-0.396857,3.7241,0.755347,-0.140455,0.0571307,0.732193,0.099995,0.335774,5.25639,-1.07881,-0.140455,0.0571307,0.732193,0.099995,-1.18642,4.85588,-0.317972,-0.300317,-0.133622,-0.833565,0.099995,1.12533,4.12461,-0.00549114,-0.300317,-0.133622,-0.833565,0.099995,-0.17432,3.60985,-0.954666,-1.84378,0.179132,0.138155,0.099995,0.113237,5.37065,0.631202,-1.84378,0.179132,0.138155,0.099995,2.67556,2.96418,89.4708,2.67556,2.96387,89.3762,2.67556,2.96261,88.9868,2.67556,2.96212,88.8342,2.67556,2.96406,89.434,2.67556,2.96418,89.4708,2.67556,2.96387,89.3762,2.67556,2.96261,88.9868,2.67556,2.96212,88.8342,2.67556,2.96406,89.434,2.67556,2.96406,89.434,2.67556,2.96261,88.9868,2.67556,2.96212,88.8342,2.67556,2.96406,89.434,2.67556,2.96212,88.8342,2.67556,2.96261,88.9868,2.67556,2.96418,89.4708,2.67556,2.96387,89.3762,2.67556,2.96387,89.3762,2.67556,2.96418,89.4708,2.99814,3.03318,63.0658,2.99814,3.03318,63.0658,2.99814,3.03318,63.0658,2.99814,3.03318,63.0658,
0.0505,-0.36554,3.74462,0.676943,-0.140243,0.0569399,0.732133,0.099995,0.304457,5.14591,-1.00041,-0.140243,0.0569399,0.732133,0.099995,-1.09055,4.77975,-0.3057,-0.299259,-0.134575,-0.833707,0.099995,1.02947,4.11078,-0.0177629,-0.299259,-0.134575,-0.833707,0.099995,-0.164498,3.6401,-0.88789,-1.84335,0.179073,0.138494,0.099995,0.103415,5.25043,0.564427,-1.84335,0.179073,0.138494,0.099995,2.67556,2.97329,92.2956,2.67556,2.9718,91.8337,2.67556,2.9707,91.4929,2.67556,2.97001,91.2793,2.67556,2.97275,92.1286,2.67556,2.97329,92.2956,2.67556,2.9718,91.8337,2.67556,2.9707,91.4929,2.67556,2.97001,91.2793,2.67556,2.97275,92.1286,2.67556,2.97275,92.1286,2.67556,2.9707,91.4929,2.67556,2.97001,91.2793,2.67556,2.97275,92.1286,2.67556,2.97001,91.2793,2.67556,2.9707,91.4929,2.67556,2.97329,92.2956,2.67556,2.9718,91.8337,2.67556,2.9718,91.8337,2.67556,2.97329,92.2956,2.99814,3.0352,66.6992,2.99814,3.0352,66.6992,2.99814,3.0352,66.6992,2.99814,3.0352,66.6992,
0.0606,-0.347661,3.72702,0.632184,-0.140029,0.0567481,0.732072,0.099995,0.286578,5.05353,-0.955647,-0.140029,0.0567481,0.732072,0.099995,-1.03714,4.70694,-0.299257,-0.301683,-0.132393,-0.833384,0.099995,0.97606,4.07361,-0.0242063,-0.301683,-0.132393,-0.833384,0.099995,-0.160104,3.62584,-0.85211,-1.84311,0.17904,0.138686,0.099995,0.0990212,5.15471,0.528646,-1.84311,0.17904,0.138686,0.099995,2.67556,2.98251,95.1549,2.67556,2.97947,94.2116,2.67556,2.97849,93.9094,2.67556,2.97698,93.4411,2.67556,2.98145,94.826,2.67556,2.98251,95.1549,2.67556,2.97947,94.2116,2.67556,2.97849,93.9094,2.67556,2.97698,93.4411,2.67556,2.98145,94.826,2.67556,2.98145,94.826,2.67556,2.97849,93.9094,2.67556,2.97698,93.4411,2.67556,2.98145,94.826,2.67556,2.97698,93.4411,2.67556,2.97849,93.9094,2.67556,2.98251,95.1549,2.67556,2.97947,94.2116,2.67556,2.97947,94.2116,2.67556,2.98251,95.1549,2.99814,3.03703,70.0066,2.99814,3.03703,70.0066,2.99814,3.03703,70.0066,2.99814,3.03703,70.0066,
0.0707,-0.347746,3.66185,0.632395,-0.140339,0.0570262,0.73216,0.099995,0.286663,4.98871,-0.955859,-0.140339,0.0570262,0.73216,0.099995,-1.03782,4.64194,-0.299528,-0.301624,-0.132446,-0.833392,0.099995,0.976738,4.00861,-0.0239353,-0.301624,-0.132446,-0.833392,0.099995,-0.160458,3.56042,-0.8526,-1.84275,0.17899,0.138975,0.099995,0.0993747,5.09013,0.529137,-1.84275,0.17899,0.138975,0.099995,2.67556,2.98309,95.3357,2.67556,2.97888,94.0294,2.67556,2.9779,93.7253,2.67556,2.9755,92.9824,2.67556,2.98165,94.8891,2.67556,2.98309,95.3357,2.67556,2.97888,94.0294,2.67556,2.9779,93.7253,2.67556,2.9755,92.9824,2.67556,2.98165,94.8891,2.67556,2.98165,94.8891,2.67556,2.9779,93.7253,2.67556,2.9755,92.9824,2.67556,2.98165,94.8891,2.67556,2.9755,92.9824,2.67556,2.9779,93.7253,2.67556,2.98309,95.3357,2.67556,2.97888,94.0294,2.67556,2.97888,94.0294,2.67556,2.98309,95.3357,2.99814,3.03794,71.6472,2.99814,3.03794,71.6472,2.99814,3.03794,71.6472,2.99814,3.03794,71.6472,
0.0808,-0.363044,3.55485,0.670694,-0.14102,0.0576371,0.732353,0.099995,0.301961,4.9457,-0.994158,-0.14102,0.0576371,0.732353,0.099995,-1.08408,4.58208,-0.305357,-0.300156,-0.133767,-0.833587,0.099995,1.023,3.91847,-0.0181065,-0.300156,-0.133767,-0.833587,0.099995,-0.164687,3.45073,-0.883266,-1.84232,0.178931,0.139315,0.099995,0.103604,5.04981,0.559803,-1.84232,0.178931,0.139315,0.099995,2.67556,2.97612,93.1737,2.67556,2.97114,91.6293,2.67556,2.97025,91.3542,2.67556,2.96747,90.4911,2.67556,2.97449,92.6691,2.67556,2.97612,93.1737,2.67556,2.97114,91.6293,2.67556,2.97025,91.3542,2.67556,2.96747,90.4911,2.67556,2.97449,92.6691,2.67556,2.97449,92.6691,2.67556,2.97025,91.3542,2.67556,2.96747,90.4911,2.67556,2.97449,92.6691,2.67556,2.96747,90.4911,2.67556,2.97025,91.3542,2.67556,2.97612,93.1737,2.67556,2.97114,91.6293,2.67556,2.97114,91.6293,2.67556,2.97612,93.1737,2.99814,3.0381,71.9237,2.99814,3.0381,71.9237,2.99814,3.0381,71.9237,2.99814,3.0381,71.9237,
0.0909,-0.38832,3.41697,0.733973,-0.141587,0.0581467,0.732514,0.099995,0.327237,4.91355,-1.05744,-0.141587,0.0581467,0.732514,0.099995,-1.16103,4.52211,-0.315173,-0.301866,-0.132228,-0.83336,0.099995,1.09995,3.80841,-0.0082906,-0.301866,-0.132228,-0.83336,0.099995,-0.17226,3.30659,-0.935687,-1.84222,0.178917,0.139395,0.099995,0.111177,5.02393,0.612224,-1.84222,0.178917,0.139395,0.099995,2.67556,2.96825,90.7355,2.67556,2.96283,89.0552,2.67556,2.96204,88.8084,2.67556,2.9594,87.9917,2.67556,2.96647,90.1813,2.67556,2.96825,90.7355,2.67556,2.96283,89.0552,2.67556,2.96204,88.8084,2.67556,2.9594,87.9917,2.67556,2.96647,90.1813,2.67556,2.96647,90.1813,2.67556,2.96204,88.8084,2.67556,2.9594,87.9917,2.67556,2.96647,90.1813,2.67556,2.9594,87.9917,2.67556,2.96204,88.8084,2.67556,2.96825,90.7355,2.67556,2.96283,89.0552,2.67556,2.96283,89.0552,2.67556,2.96825,90.7355,2.99814,3.03813,71.9849,2.99814,3.03813,71.9849,2.99814,3.03813,71.9849,2.99814,3.03813,71.9849,
0.101,-0.414379,3.31788,0.802449,-0.0628227,0.140379,0.76907,0.099995,0.360176,4.8837,-1.13033,-0.136994,0.0644979,0.733386,0.099995,-1.24916,4.46196,-0.32353,-0.280405,-0.14798,-0.836785,0.099995,1.18758,3.69043,-0.00250863,-0.32491,-0.118879,-0.828211,0.099995,-0.178918,3.15191,-0.996991,-1.85415,0.0960582,0.136484,0.099995,0.123412,5.00516,0.69005,-1.85163,0.130901,0.135955,0.099995,2.67556,2.97649,93.2885,2.67556,2.96404,89.4279,2.67556,2.96018,88.2318,2.67556,2.87571,62.0456,2.67556,2.96814,90.7011,2.67556,2.97174,91.8165,2.67556,2.95372,86.2293,2.67556,2.96273,89.0242,2.67556,2.96013,88.2166,2.67556,2.95668,87.1462,2.67556,2.96563,89.9219,2.67556,2.97282,92.152,2.67556,2.97964,94.2655,2.67556,2.97313,92.2481,2.67556,2.95842,87.686,2.67556,2.96126,88.5679,2.67556,2.96744,90.484,2.67556,2.97021,91.3406,2.67556,2.95883,87.8125,2.67556,2.97582,93.0794,2.99814,3.01618,32.4696,2.99814,3.03896,73.472,2.99814,3.05616,104.445,2.99814,3.03854,72.7243,
