tgDataLogger2 started logging at time 04122024_161319, with 30 sensors on 1 senseable objects.
time,0_rod(prism_rod).X,0_rod(prism_rod).Y,0_rod(prism_rod).Z,0_rod(prism_rod).Euler1,0_rod(prism_rod).Euler2,0_rod(prism_rod).Euler3,0_rod(prism_rod).mass,1_rod(prism_rod).X,1_rod(prism_rod).Y,1_rod(prism_rod).Z,1_rod(prism_rod).Euler1,1_rod(prism_rod).Euler2,1_rod(prism_rod).Euler3,1_rod(prism_rod).mass,2_rod(prism_rod).X,2_rod(prism_rod).Y,2_rod(prism_rod).Z,2_rod(prism_rod).Euler1,2_rod(prism_rod).Euler2,2_rod(prism_rod).Euler3,2_rod(prism_rod).mass,3_rod(prism_rod).X,3_rod(prism_rod).Y,3_rod(prism_rod).Z,3_rod(prism_rod).Euler1,3_rod(prism_rod).Euler2,3_rod(prism_rod).Euler3,3_rod(prism_rod).mass,4_rod(prism_rod).X,4_rod(prism_rod).Y,4_rod(prism_rod).Z,4_rod(prism_rod).Euler1,4_rod(prism_rod).Euler2,4_rod(prism_rod).Euler3,4_rod(prism_rod).mass,5_rod(prism_rod).X,5_rod(prism_rod).Y,5_rod(prism_rod).Z,5_rod(prism_rod).Euler1,5_rod(prism_rod).Euler2,5_rod(prism_rod).Euler3,5_rod(prism_rod).mass,6_SCA(springs).RestLen,6_SCA(springs).CurrLen,6_SCA(springs).Tension,7_SCA(springs).RestLen,7_SCA(springs).CurrLen,7_SCA(springs).Tension,8_SCA(springs).RestLen,8_SCA(springs).CurrLen,8_SCA(springs).Tension,9_SCA(springs).RestLen,9_SCA(springs).CurrLen,9_SCA(springs).Tension,10_SCA(springs).RestLen,10_SCA(springs).CurrLen,10_SCA(springs).Tension,11_SCA(springs).RestLen,11_SCA(springs).CurrLen,11_SCA(springs).Tension,12_SCA(springs).RestLen,12_SCA(springs).CurrLen,12_SCA(springs).Tension,13_SCA(springs).RestLen,13_SCA(springs).CurrLen,13_SCA(springs).Tension,14_SCA(springs).RestLen,14_SCA(springs).CurrLen,14_SCA(springs).Tension,15_SCA(springs).RestLen,15_SCA(springs).CurrLen,15_SCA(springs).Tension,16_SCA(springs).RestLen,16_SCA(springs).CurrLen,16_SCA(springs).Tension,17_SCA(springs).RestLen,17_SCA(springs).CurrLen,17_SCA(springs).Tension,18_SCA(springs).RestLen,18_SCA(springs).CurrLen,18_SCA(springs).Tension,19_SCA(springs).RestLen,19_SCA(springs).CurrLen,19_SCA(springs).Tension,20_SCA(springs).RestLen,20_SCA(springs).CurrLen,20_SCA(springs).Tension,21_SCA(springs).RestLen,21_SCA(springs).CurrLen,21_SCA(springs).Tension,22_SCA(springs).RestLen,22_SCA(springs).CurrLen,22_SCA(springs).Tension,23_SCA(springs).RestLen,23_SCA(springs).CurrLen,23_SCA(springs).Tension,24_SCA(springs).RestLen,24_SCA(springs).CurrLen,24_SCA(springs).Tension,25_SCA(springs).RestLen,25_SCA(springs).CurrLen,25_SCA(springs).Tension,26_SCA(activated_cable).RestLen,26_SCA(activated_cable).CurrLen,26_SCA(activated_cable).Tension,27_SCA(activated_cable).RestLen,27_SCA(activated_cable).CurrLen,27_SCA(activated_cable).Tension,28_SCA(activated_cable).RestLen,28_SCA(activated_cable).CurrLen,28_SCA(activated_cable).Tension,29_SCA(activated_cable).RestLen,29_SCA(activated_cable).CurrLen,29_SCA(activated_cable).Tension,
0.0101,1.25065e-16,4.49505,1.53851,-0.00526108,-1.79164e-16,-1.95503e-15,0.099995,1.7732e-16,4.49505,-1.53851,-0.00526108,5.71717e-17,-1.88137e-15,0.099995,-1.51714,4.50243,-2.17169e-16,-0.00126487,1.24683e-17,-1.5708,0.099995,1.51714,4.48766,-9.7362e-17,-0.00126487,5.45354e-17,-1.5708,0.099995,0.0132272,2.99174,2.77668e-15,-1.56993,-4.08349e-15,-3.49644e-17,0.099995,-0.0132272,5.99835,-2.91341e-15,-1.56993,-4.37109e-15,1.26474e-16,0.099995,2.81632,2.98702,93.8866,2.81632,2.98639,93.5374,2.81632,2.9861,93.3788,2.81632,2.98577,93.1983,2.81632,2.98705,93.899,2.81632,2.98702,93.8866,2.81632,2.98639,93.5374,2.81632,2.9861,93.3788,2.81632,2.98577,93.1983,2.81632,2.98705,93.899,2.81632,2.98705,93.899,2.81632,2.9861,93.3788,2.81632,2.98577,93.1983,2.81632,2.98705,93.899,2.81632,2.98577,93.1983,2.81632,2.9861,93.3788,2.81632,2.98702,93.8866,2.81632,2.98639,93.5374,2.81632,2.98639,93.5374,2.81632,2.98702,93.8866,2.99814,3.0304,58.0717,2.99814,3.0304,58.0717,2.99814,3.0304,58.0717,2.99814,3.0304,58.0717,
0.0202,1.49644e-16,4.48008,1.4713,-0.0068008,-2.75023e-16,-5.26102e-15,0.099995,4.38972e-16,4.48008,-1.4713,-0.0068008,1.1244e-16,-5.29191e-15,0.099995,-1.44481,4.48943,-2.20661e-16,0.00315808,-5.29091e-17,-1.5708,0.099995,1.44481,4.47074,-2.09034e-16,0.00315808,6.07153e-17,-1.5708,0.099995,0.0164372,3.0544,7.15889e-15,-1.56952,-2.43144e-15,-2.57502e-17,0.099995,-0.0164372,5.90577,-7.54518e-15,-1.56952,-3.21912e-15,1.08981e-16,0.099995,2.81632,2.9747,87.1077,2.81632,2.97469,87.1006,2.81632,2.974,86.7255,2.81632,2.97363,86.518,2.81632,2.97473,87.1221,2.81632,2.9747,87.1077,2.81632,2.97469,87.1006,2.81632,2.974,86.7255,2.81632,2.97363,86.518,2.81632,2.97473,87.1221,2.81632,2.97473,87.1221,2.81632,2.974,86.7255,2.81632,2.97363,86.518,2.81632,2.97473,87.1221,2.81632,2.97363,86.518,2.81632,2.974,86.7255,2.81632,2.9747,87.1077,2.81632,2.97469,87.1006,2.81632,2.97469,87.1006,2.81632,2.9747,87.1077,2.99814,3.03075,58.6905,2.99814,3.03075,58.6905,2.99814,3.03075,58.6905,2.99814,3.03075,58.6905,
0.0303,-5.59372e-17,4.45512,1.37309,-0.00820906,-4.58478e-16,-9.16765e-15,0.099995,1.79578e-16,4.45512,-1.37309,-0.00820906,-2.69659e-16,-9.04422e-15,0.099995,-1.34391,4.46567,-1.93114e-16,-0.00204839,-1.61112e-16,-1.5708,0.099995,1.34391,4.44456,-2.15921e-16,-0.00204839,6.96058e-17,-1.5708,0.099995,0.017792,3.13615,1.18116e-14,-1.56859,-1.05589e-14,-3.97446e-17,0.099995,-0.017792,5.77408,-1.22063e-14,-1.56859,-1.31302e-14,1.21911e-17,0.099995,2.81632,2.9648,81.6619,2.81632,2.96498,81.7602,2.81632,2.96409,81.2724,2.81632,2.96372,81.0678,2.81632,2.96489,81.7128,2.81632,2.9648,81.6619,2.81632,2.96498,81.7602,2.81632,2.96409,81.2724,2.81632,2.96372,81.0678,2.81632,2.96489,81.7128,2.81632,2.96489,81.7128,2.81632,2.96409,81.2724,2.81632,2.96372,81.0678,2.81632,2.96489,81.7128,2.81632,2.96372,81.0678,2.81632,2.96409,81.2724,2.81632,2.9648,81.6619,2.81632,2.96498,81.7602,2.81632,2.96498,81.7602,2.81632,2.9648,81.6619,2.99814,3.03099,59.1374,2.99814,3.03099,59.1374,2.99814,3.03099,59.1374,2.99814,3.03099,59.1374,
0.0404,3.24574e-16,4.42014,1.25878,-0.00877288,9.04586e-16,-1.23563e-14,0.099995,3.30922e-16,4.42014,-1.25878,-0.00877288,-3.5675e-16,-1.14381e-14,0.099995,-1.23129,4.43031,-1.78046e-16,0.00117064,-1.15251e-16,-1.5708,0.099995,1.23129,4.40997,2.33197e-16,0.00117064,1.47668e-16,-1.5708,0.099995,0.0162593,3.21752,1.40762e-14,-1.56774,-9.74902e-15,-3.92563e-17,0.099995,-0.0162593,5.62276,-1.41539e-14,-1.56774,-1.08326e-14,-1.04868e-16,0.099995,2.81632,2.96367,81.0402,2.81632,2.96366,81.0336,2.81632,2.96275,80.5356,2.81632,2.96254,80.4213,2.81632,2.96365,81.029,2.81632,2.96367,81.0402,2.81632,2.96366,81.0336,2.81632,2.96275,80.5356,2.81632,2.96254,80.4213,2.81632,2.96365,81.029,2.81632,2.96365,81.029,2.81632,2.96275,80.5356,2.81632,2.96254,80.4213,2.81632,2.96365,81.029,2.81632,2.96254,80.4213,2.81632,2.96275,80.5356,2.81632,2.96367,81.0402,2.81632,2.96366,81.0336,2.81632,2.96366,81.0336,2.81632,2.96367,81.0402,2.99814,3.03191,60.7858,2.99814,3.03191,60.7858,2.99814,3.03191,60.7858,2.99814,3.03191,60.7858,
0.0505,1.49245e-16,4.37516,1.15237,-0.00847195,-9.46817e-16,-1.62737e-14,0.099995,1.93337e-16,4.37516,-1.15237,-0.00847195,1.55716e-15,-1.5609e-14,0.099995,-1.13,4.38362,-4.66828e-17,0.000674009,-7.82252e-17,-1.5708,0.099995,1.13,4.3667,2.36358e-16,0.000674009,1.54716e-16,-1.5708,0.099995,0.0126209,3.27358,1.75508e-14,-1.56725,-1.24009e-14,-3.61135e-17,0.099995,-0.0126209,5.47673,-1.75292e-14,-1.56725,-1.45362e-14,-6.63516e-17,0.099995,2.81632,2.97192,85.5801,2.81632,2.97091,85.0248,2.81632,2.97021,84.6391,2.81632,2.96986,84.4478,2.81632,2.97155,85.3769,2.81632,2.97192,85.5801,2.81632,2.97091,85.0248,2.81632,2.97021,84.6391,2.81632,2.96986,84.4478,2.81632,2.97155,85.3769,2.81632,2.97155,85.3769,2.81632,2.97021,84.6391,2.81632,2.96986,84.4478,2.81632,2.97155,85.3769,2.81632,2.96986,84.4478,2.81632,2.97021,84.6391,2.81632,2.97192,85.5801,2.81632,2.97091,85.0248,2.81632,2.97091,85.0248,2.81632,2.97192,85.5801,2.99814,3.03362,63.8606,2.99814,3.03362,63.8606,2.99814,3.03362,63.8606,2.99814,3.03362,63.8606,
0.0606,-6.28191e-16,4.32017,1.08622,-0.00806661,-3.12747e-15,-2.09247e-14,0.099995,-5.83074e-16,4.32017,-1.08622,-0.00806661,5.89749e-16,-2.08078e-14,0.099995,-1.06837,4.32699,1.97781e-16,-0.00275607,-2.04697e-16,-1.5708,0.099995,1.06837,4.31335,2.97204e-16,-0.00275607,5.85469e-18,-1.5708,0.099995,0.00957172,3.27786,2.17255e-14,-1.56704,-2.34146e-14,-1.94949e-17,0.099995,-0.00957172,5.36247,-2.15634e-14,-1.56704,-2.25657e-14,-1.03567e-16,0.099995,2.81632,2.98139,90.79,2.81632,2.97909,89.5198,2.81632,2.97852,89.2072,2.81632,2.97748,88.6355,2.81632,2.98057,90.3352,2.81632,2.98139,90.79,2.81632,2.97909,89.5198,2.81632,2.97852,89.2072,2.81632,2.97748,88.6355,2.81632,2.98057,90.3352,2.81632,2.98057,90.3352,2.81632,2.97852,89.2072,2.81632,2.97748,88.6355,2.81632,2.98057,90.3352,2.81632,2.97748,88.6355,2.81632,2.97852,89.2072,2.81632,2.98139,90.79,2.81632,2.97909,89.5198,2.81632,2.97909,89.5198,2.81632,2.98139,90.79,2.99814,3.03538,67.0372,2.99814,3.03538,67.0372,2.99814,3.03538,67.0372,2.99814,3.03538,67.0372,
0.0707,5.09007e-16,4.25517,1.07841,-0.0083121,6.86549e-15,-2.52179e-14,0.099995,6.61261e-16,4.25517,-1.07841,-0.0083121,-9.2423e-15,-2.49535e-14,0.099995,-1.06135,4.26161,2.18632e-16,-0.000340507,-1.14654e-16,-1.5708,0.099995,1.06135,4.24873,2.74223e-16,-0.000340507,3.26887e-17,-1.5708,0.099995,0.009073,3.2195,2.61572e-14,-1.56675,-2.36163e-14,-1.01804e-16,0.099995,-0.009073,5.29085,-2.5947e-14,-1.56675,-2.59778e-14,-6.78855e-17,0.099995,2.81632,2.98307,91.7111,2.81632,2.97985,89.9392,2.81632,2.97931,89.642,2.81632,2.97749,88.6422,2.81632,2.98197,91.1073,2.81632,2.98307,91.7111,2.81632,2.97985,89.9392,2.81632,2.97931,89.642,2.81632,2.97749,88.6422,2.81632,2.98197,91.1073,2.81632,2.98197,91.1073,2.81632,2.97931,89.642,2.81632,2.97749,88.6422,2.81632,2.98197,91.1073,2.81632,2.97749,88.6422,2.81632,2.97931,89.642,2.81632,2.98307,91.7111,2.81632,2.97985,89.9392,2.81632,2.97985,89.9392,2.81632,2.98307,91.7111,2.99814,3.03637,68.8112,2.99814,3.03637,68.8112,2.99814,3.03637,68.8112,2.99814,3.03637,68.8112,
0.0808,2.02804e-16,4.18017,1.12235,-0.00909962,-9.13191e-15,-2.98276e-14,0.099995,2.52593e-16,4.18017,-1.12235,-0.00909962,1.16235e-14,-2.94039e-14,0.099995,-1.10247,4.18761,2.00634e-16,-0.000954747,-1.27014e-16,-1.5708,0.099995,1.10247,4.17272,5.74478e-16,-0.000954747,2.01662e-17,-1.5708,0.099995,0.0109134,3.10573,3.1846e-14,-1.56633,-3.12687e-14,-1.62719e-16,0.099995,-0.0109134,5.2546,-3.13888e-14,-1.56633,-2.72502e-14,-1.50577e-16,0.099995,2.81632,2.97681,88.267,2.81632,2.97315,86.2541,2.81632,2.97269,86.0041,2.81632,2.97058,84.8435,2.81632,2.97563,87.6174,2.81632,2.97681,88.267,2.81632,2.97315,86.2541,2.81632,2.97269,86.0041,2.81632,2.97058,84.8435,2.81632,2.97563,87.6174,2.81632,2.97563,87.6174,2.81632,2.97269,86.0041,2.81632,2.97058,84.8435,2.81632,2.97563,87.6174,2.81632,2.97058,84.8435,2.81632,2.97269,86.0041,2.81632,2.97681,88.267,2.81632,2.97315,86.2541,2.81632,2.97315,86.2541,2.81632,2.97681,88.267,2.99814,3.03653,69.0989,2.99814,3.03653,69.0989,2.99814,3.03653,69.0989,2.99814,3.03653,69.0989,
0.0909,6.37358e-16,4.09516,1.20101,-0.0098482,6.90836e-15,-3.23002e-14,0.099995,4.43634e-16,4.09516,-1.20101,-0.0098482,-9.70139e-15,-3.2095e-14,0.099995,-1.1765,4.10415,1.13992e-16,-0.00130304,-3.39355e-17,-1.5708,0.099995,1.1765,4.08616,6.87829e-16,-0.00130304,-7.82794e-17,-1.5708,0.099995,0.0139948,2.94915,3.74879e-14,-1.56624,-3.27195e-14,-1.69108e-16,0.099995,-0.0139948,5.24116,-3.66009e-14,-1.56624,-3.75719e-14,-2.53288e-18,0.099995,2.81632,2.96857,83.7387,2.81632,2.9648,81.6639,2.81632,2.96443,81.4615,2.81632,2.96256,80.43,2.81632,2.96733,83.0547,2.81632,2.96857,83.7387,2.81632,2.9648,81.6639,2.81632,2.96443,81.4615,2.81632,2.96256,80.43,2.81632,2.96733,83.0547,2.81632,2.96733,83.0547,2.81632,2.96443,81.4615,2.81632,2.96256,80.43,2.81632,2.96733,83.0547,2.81632,2.96256,80.43,2.81632,2.96443,81.4615,2.81632,2.96857,83.7387,2.81632,2.9648,81.6639,2.81632,2.9648,81.6639,2.81632,2.96857,83.7387,2.99814,3.03638,68.8323,2.99814,3.03638,68.8323,2.99814,3.03638,68.8323,2.99814,3.03638,68.8323,
0.101,-6.46533e-07,4.00041,1.29695,-0.0100146,0.0095009,0.000369334,0.099995,-6.46533e-07,4.00041,-1.29695,-0.0100146,-0.00950087,-0.000369333,0.099995,-1.26841,4.01038,2.59114e-16,0.00106542,3.02578e-13,-1.5708,0.099995,1.26841,3.98989,6.83696e-16,0.00103233,3.08014e-13,-1.5708,0.099995,0.0168703,2.76212,4.28812e-14,-1.56671,4.87809e-12,-5.48232e-13,0.099995,-0.0168703,5.23815,-4.196e-14,-1.56671,3.97727e-12,-4.41685e-13,0.099995,2.81632,2.96391,81.1717,2.81632,2.96074,79.4299,2.81632,2.9598,78.9125,2.81632,2.95789,77.8634,2.81632,2.96316,80.7605,2.81632,2.96391,81.1717,2.81632,2.96074,79.4299,2.81632,2.9598,78.9126,2.81632,2.95789,77.8635,2.81632,2.96316,80.7605,2.81632,2.96316,80.7635,2.81632,2.96128,79.7287,2.81632,2.95979,78.9087,2.81632,2.96316,80.7635,2.81632,2.95979,78.9087,2.81632,2.96128,79.7287,2.81632,2.96508,81.8172,2.81632,2.96074,79.4321,2.81632,2.96074,79.4321,2.81632,2.96508,81.8172,2.99814,3.03554,67.32,2.99814,3.03554,67.32,2.99814,3.0372,70.3037,2.99814,3.0372,70.3037,
