tgDataLogger2 started logging at time 04122024_161046, with 30 sensors on 1 senseable objects.
time,0_rod(prism_rod).X,0_rod(prism_rod).Y,0_rod(prism_rod).Z,0_rod(prism_rod).Euler1,0_rod(prism_rod).Euler2,0_rod(prism_rod).Euler3,0_rod(prism_rod).mass,1_rod(prism_rod).X,1_rod(prism_rod).Y,1_rod(prism_rod).Z,1_rod(prism_rod).Euler1,1_rod(prism_rod).Euler2,1_rod(prism_rod).Euler3,1_rod(prism_rod).mass,2_rod(prism_rod).X,2_rod(prism_rod).Y,2_rod(prism_rod).Z,2_rod(prism_rod).Euler1,2_rod(prism_rod).Euler2,2_rod(prism_rod).Euler3,2_rod(prism_rod).mass,3_rod(prism_rod).X,3_rod(prism_rod).Y,3_rod(prism_rod).Z,3_rod(prism_rod).Euler1,3_rod(prism_rod).Euler2,3_rod(prism_rod).Euler3,3_rod(prism_rod).mass,4_rod(prism_rod).X,4_rod(prism_rod).Y,4_rod(prism_rod).Z,4_rod(prism_rod).Euler1,4_rod(prism_rod).Euler2,4_rod(prism_rod).Euler3,4_rod(prism_rod).mass,5_rod(prism_rod).X,5_rod(prism_rod).Y,5_rod(prism_rod).Z,5_rod(prism_rod).Euler1,5_rod(prism_rod).Euler2,5_rod(prism_rod).Euler3,5_rod(prism_rod).mass,6_SCA(activated_cable).RestLen,6_SCA(activated_cable).CurrLen,6_SCA(activated_cable).Tension,7_SCA(activated_cable).RestLen,7_SCA(activated_cable).CurrLen,7_SCA(activated_cable).Tension,8_SCA(activated_cable).RestLen,8_SCA(activated_cable).CurrLen,8_SCA(activated_cable).Tension,9_SCA(activated_cable).RestLen,9_SCA(activated_cable).CurrLen,9_SCA(activated_cable).Tension,10_SCA(springs).RestLen,10_SCA(springs).CurrLen,10_SCA(springs).Tension,11_SCA(springs).RestLen,11_SCA(springs).CurrLen,11_SCA(springs).Tension,12_SCA(springs).RestLen,12_SCA(springs).CurrLen,12_SCA(springs).Tension,13_SCA(springs).RestLen,13_SCA(springs).CurrLen,13_SCA(springs).Tension,14_SCA(springs).RestLen,14_SCA(springs).CurrLen,14_SCA(springs).Tension,15_SCA(springs).RestLen,15_SCA(springs).CurrLen,15_SCA(springs).Tension,16_SCA(springs).RestLen,16_SCA(springs).CurrLen,16_SCA(springs).Tension,17_SCA(springs).RestLen,17_SCA(springs).CurrLen,17_SCA(springs).Tension,18_SCA(springs).RestLen,18_SCA(springs).CurrLen,18_SCA(springs).Tension,19_SCA(springs).RestLen,19_SCA(springs).CurrLen,19_SCA(springs).Tension,20_SCA(springs).RestLen,20_SCA(springs).CurrLen,20_SCA(springs).Tension,21_SCA(springs).RestLen,21_SCA(springs).CurrLen,21_SCA(springs).Tension,22_SCA(springs).RestLen,22_SCA(springs).CurrLen,22_SCA(springs).Tension,23_SCA(springs).RestLen,23_SCA(springs).CurrLen,23_SCA(springs).Tension,24_SCA(springs).RestLen,24_SCA(springs).CurrLen,24_SCA(springs).Tension,25_SCA(springs).RestLen,25_SCA(springs).CurrLen,25_SCA(springs).Tension,26_SCA(springs).RestLen,26_SCA(springs).CurrLen,26_SCA(springs).Tension,27_SCA(springs).RestLen,27_SCA(springs).CurrLen,27_SCA(springs).Tension,28_SCA(springs).RestLen,28_SCA(springs).CurrLen,28_SCA(springs).Tension,29_SCA(springs).RestLen,29_SCA(springs).CurrLen,29_SCA(springs).Tension,
0.0101,-1.33983e-16,4.49505,1.53826,-0.00552231,3.33288e-16,-2.66219e-15,0.099995,7.60059e-17,4.49505,-1.53826,-0.00552231,-2.69245e-16,-3.04144e-15,0.099995,-1.51677,4.50246,3.85046e-17,-0.00135683,-1.73472e-18,-1.5708,0.099995,1.51677,4.48763,8.28233e-17,-0.00135683,1.40946e-17,-1.5708,0.099995,0.0133968,2.99219,3.84117e-15,-1.56977,-4.88342e-15,-6.12736e-17,0.099995,-0.0133968,5.99791,-3.99981e-15,-1.56977,-5.16936e-15,-1.15058e-17,0.099995,2.99814,3.03123,59.5685,2.99814,3.03123,59.5685,2.99814,3.03123,59.5685,2.99814,3.03123,59.5685,2.37314,2.98722,98.2521,2.37314,2.98615,98.0808,2.37314,2.9857,98.0101,2.37314,2.98499,97.8964,2.37314,2.9871,98.234,2.37314,2.98722,98.2521,2.37314,2.98615,98.0808,2.37314,2.9857,98.0101,2.37314,2.98499,97.8964,2.37314,2.9871,98.234,2.37314,2.9871,98.234,2.37314,2.9857,98.0101,2.37314,2.98499,97.8964,2.37314,2.9871,98.234,2.37314,2.98499,97.8964,2.37314,2.9857,98.0101,2.37314,2.98722,98.2521,2.37314,2.98615,98.0808,2.37314,2.98615,98.0808,2.37314,2.98722,98.2521,
0.0202,1.72339e-16,4.48008,1.46857,-0.00717437,6.40519e-16,-6.35887e-15,0.099995,4.83781e-16,4.48008,-1.46857,-0.00717437,-6.98952e-16,-6.49217e-15,0.099995,-1.44176,4.48949,1.71536e-16,0.00312362,4.98733e-18,-1.5708,0.099995,1.44176,4.47068,-2.15803e-16,0.00312362,-3.75134e-17,-1.5708,0.099995,0.0166658,3.05767,8.68938e-15,-1.56929,-6.01662e-15,-4.05472e-17,0.099995,-0.0166658,5.9025,-8.86996e-15,-1.56929,-4.86013e-15,-9.41278e-17,0.099995,2.99814,3.03179,60.5608,2.99814,3.03179,60.5608,2.99814,3.03179,60.5608,2.99814,3.03179,60.5608,2.37314,2.9746,96.2329,2.37314,2.97409,96.1525,2.37314,2.97314,95.9997,2.37314,2.97234,95.8714,2.37314,2.97448,96.214,2.37314,2.9746,96.2329,2.37314,2.97409,96.1525,2.37314,2.97314,95.9997,2.37314,2.97234,95.8714,2.37314,2.97448,96.214,2.37314,2.97448,96.214,2.37314,2.97314,95.9997,2.37314,2.97234,95.8714,2.37314,2.97448,96.214,2.37314,2.97234,95.8714,2.37314,2.97314,95.9997,2.37314,2.9746,96.2329,2.37314,2.97409,96.1525,2.37314,2.97409,96.1525,2.37314,2.9746,96.2329,
0.0303,2.6801e-16,4.45512,1.3648,-0.00870987,1.87393e-16,-9.42508e-15,0.099995,3.29991e-16,4.45512,-1.3648,-0.00870987,-5.54755e-16,-9.62097e-15,0.099995,-1.33522,4.46569,-2.05284e-16,-0.0014608,-7.34005e-17,-1.5708,0.099995,1.33522,4.44454,-1.88824e-16,-0.0014608,1.30104e-17,-1.5708,0.099995,0.0179852,3.14524,1.24032e-14,-1.56827,-9.13861e-15,2.97275e-17,0.099995,-0.0179852,5.76499,-1.27246e-14,-1.56827,-1.04545e-14,-5.88578e-17,0.099995,2.99814,3.03247,61.7868,2.99814,3.03247,61.7868,2.99814,3.03247,61.7868,2.99814,3.03247,61.7868,2.37314,2.96466,94.6434,2.37314,2.96435,94.5933,2.37314,2.96301,94.3786,2.37314,2.96213,94.2386,2.37314,2.96461,94.635,2.37314,2.96466,94.6434,2.37314,2.96435,94.5933,2.37314,2.96301,94.3786,2.37314,2.96213,94.2386,2.37314,2.96461,94.635,2.37314,2.96461,94.635,2.37314,2.96301,94.3786,2.37314,2.96213,94.2386,2.37314,2.96461,94.635,2.37314,2.96213,94.2386,2.37314,2.96301,94.3786,2.37314,2.96466,94.6434,2.37314,2.96435,94.5933,2.37314,2.96435,94.5933,2.37314,2.96466,94.6434,
0.0404,2.32277e-16,4.42014,1.24428,-0.00930847,-2.5115e-15,-1.29436e-14,0.099995,8.9552e-16,4.42014,-1.24428,-0.00930847,1.8605e-15,-1.26839e-14,0.099995,-1.21673,4.43011,2.09524e-16,-0.000961422,-6.02274e-17,-1.5708,0.099995,1.21673,4.41017,1.68763e-16,-0.000961422,6.66784e-18,-1.5708,0.099995,0.01609,3.23232,1.52321e-14,-1.56733,-1.95023e-14,-9.96517e-17,0.099995,-0.01609,5.60797,-1.51269e-14,-1.56733,-1.54012e-14,-5.49438e-17,0.099995,2.99814,3.03399,64.5283,2.99814,3.03399,64.5283,2.99814,3.03399,64.5283,2.99814,3.03399,64.5283,2.37314,2.96464,94.6394,2.37314,2.96404,94.5436,2.37314,2.9625,94.2968,2.37314,2.96173,94.1749,2.37314,2.96442,94.6044,2.37314,2.96464,94.6394,2.37314,2.96404,94.5436,2.37314,2.9625,94.2968,2.37314,2.96173,94.1749,2.37314,2.96442,94.6044,2.37314,2.96442,94.6044,2.37314,2.9625,94.2968,2.37314,2.96173,94.1749,2.37314,2.96442,94.6044,2.37314,2.96173,94.1749,2.37314,2.9625,94.2968,2.37314,2.96464,94.6394,2.37314,2.96404,94.5436,2.37314,2.96404,94.5436,2.37314,2.96464,94.6394,
0.0505,-1.51656e-16,4.37516,1.13741,-0.00903626,-5.07612e-15,-1.58091e-14,0.099995,2.70822e-16,4.37516,-1.13741,-0.00903626,4.53843e-15,-1.63596e-14,0.099995,-1.11532,4.38309,2.37523e-16,0.00111307,-7.34005e-17,-1.5708,0.099995,1.11532,4.36723,1.91923e-16,0.00111307,5.12828e-17,-1.5708,0.099995,0.0120939,3.28799,1.72715e-14,-1.56681,-9.29528e-15,-9.07333e-17,0.099995,-0.0120939,5.46233,-1.72499e-14,-1.56681,-1.58339e-14,-1.18452e-16,0.099995,2.99814,3.03619,68.4907,2.99814,3.03619,68.4907,2.99814,3.03619,68.4907,2.99814,3.03619,68.4907,2.37314,2.97429,96.1847,2.37314,2.97236,95.8745,2.37314,2.9709,95.6416,2.37314,2.96988,95.4781,2.37314,2.97359,96.0726,2.37314,2.97429,96.1847,2.37314,2.97236,95.8745,2.37314,2.9709,95.6416,2.37314,2.96988,95.4781,2.37314,2.97359,96.0726,2.37314,2.97359,96.0726,2.37314,2.9709,95.6416,2.37314,2.96988,95.4781,2.37314,2.97359,96.0726,2.37314,2.96988,95.4781,2.37314,2.9709,95.6416,2.37314,2.97429,96.1847,2.37314,2.97236,95.8745,2.37314,2.97236,95.8745,2.37314,2.97429,96.1847,
0.0606,3.17939e-16,4.32017,1.07984,-0.00883588,1.08061e-15,-1.99666e-14,0.099995,7.96135e-16,4.32017,-1.07984,-0.00883588,-2.24036e-15,-2.06596e-14,0.099995,-1.062,4.32638,2.41608e-16,-0.00125343,-8.99888e-18,-1.5708,0.099995,1.062,4.31395,1.92777e-16,-0.00125343,-4.98733e-17,-1.5708,0.099995,0.00909891,3.28396,2.08939e-14,-1.56646,-2.02077e-14,-1.63317e-16,0.099995,-0.00909891,5.35637,-2.05913e-14,-1.56646,-1.74936e-14,-1.25738e-16,0.099995,2.99814,3.03806,71.853,2.99814,3.03806,71.853,2.99814,3.03806,71.853,2.99814,3.03806,71.853,2.37314,2.98334,97.6327,2.37314,2.97964,97.0397,2.37314,2.97826,96.8195,2.37314,2.97631,96.5072,2.37314,2.98206,97.4275,2.37314,2.98334,97.6327,2.37314,2.97964,97.0397,2.37314,2.97826,96.8195,2.37314,2.97631,96.5072,2.37314,2.98206,97.4275,2.37314,2.98206,97.4275,2.37314,2.97826,96.8195,2.37314,2.97631,96.5072,2.37314,2.98206,97.4275,2.37314,2.97631,96.5072,2.37314,2.97826,96.8195,2.37314,2.98334,97.6327,2.37314,2.97964,97.0397,2.37314,2.97964,97.0397,2.37314,2.98334,97.6327,
0.0707,-1.43648e-16,4.25517,1.08518,-0.00940457,2.09123e-15,-2.49589e-14,0.099995,7.31377e-16,4.25517,-1.08518,-0.00940457,-3.46927e-15,-2.5154e-14,0.099995,-1.06749,4.26114,1.75972e-16,-0.00270496,-6.09322e-17,-1.5708,0.099995,1.06749,4.2492,-1.63151e-16,-0.00270496,-1.44849e-16,-1.5708,0.099995,0.00891293,3.21365,2.59107e-14,-1.56592,-2.91123e-14,-1.81884e-16,0.099995,-0.00891293,5.29669,-2.58495e-14,-1.56592,-2.67642e-14,-1.55399e-16,0.099995,2.99814,3.03893,73.419,2.99814,3.03893,73.419,2.99814,3.03893,73.419,2.99814,3.03893,73.419,2.37314,2.98332,97.6287,2.37314,2.97819,96.8084,2.37314,2.97676,96.5787,2.37314,2.97381,96.1077,2.37314,2.98157,97.3484,2.37314,2.98332,97.6287,2.37314,2.97819,96.8084,2.37314,2.97676,96.5787,2.37314,2.97381,96.1077,2.37314,2.98157,97.3484,2.37314,2.98157,97.3484,2.37314,2.97676,96.5787,2.37314,2.97381,96.1077,2.37314,2.98157,97.3484,2.37314,2.97381,96.1077,2.37314,2.97676,96.5787,2.37314,2.98332,97.6287,2.37314,2.97819,96.8084,2.37314,2.97819,96.8084,2.37314,2.98332,97.6287,
0.0808,3.73265e-16,4.18017,1.14246,-0.0104687,-4.22522e-15,-2.86857e-14,0.099995,7.06916e-16,4.18017,-1.14246,-0.0104687,4.16945e-15,-2.76597e-14,0.099995,-1.12144,4.18718,-2.28656e-16,0.000153948,-6.554e-17,-1.5708,0.099995,1.12144,4.17315,-1.55715e-16,0.000153948,-3.58735e-17,-1.5708,0.099995,0.0110722,3.0873,3.06943e-14,-1.56534,-2.70479e-14,-1.64334e-16,0.099995,-0.0110722,5.27303,-3.09818e-14,-1.56534,-3.41063e-14,-1.73593e-16,0.099995,2.99814,3.0391,73.7328,2.99814,3.0391,73.7328,2.99814,3.0391,73.7328,2.99814,3.0391,73.7328,2.37314,2.97607,96.4691,2.37314,2.96986,95.4749,2.37314,2.96847,95.2529,2.37314,2.96503,94.7031,2.37314,2.97402,96.1408,2.37314,2.97607,96.4691,2.37314,2.96986,95.4749,2.37314,2.96847,95.2529,2.37314,2.96503,94.7031,2.37314,2.97402,96.1408,2.37314,2.97402,96.1408,2.37314,2.96847,95.2529,2.37314,2.96503,94.7031,2.37314,2.97402,96.1408,2.37314,2.96503,94.7031,2.37314,2.96847,95.2529,2.37314,2.97607,96.4691,2.37314,2.96986,95.4749,2.37314,2.96986,95.4749,2.37314,2.97607,96.4691,
0.0909,-4.16219e-16,4.09516,1.23332,-0.0113064,1.16192e-15,-3.16527e-14,0.099995,-1.42485e-16,4.09516,-1.23332,-0.0113064,-2.021e-15,-3.10343e-14,0.099995,-1.2076,4.10368,-3.66952e-16,-0.00203773,-5.72459e-17,-1.5708,0.099995,1.2076,4.08663,-5.99337e-17,-0.00203773,-1.49403e-16,-1.5708,0.099995,0.014219,2.91803,3.65484e-14,-1.56518,-3.43598e-14,-1.30471e-16,0.099995,-0.014219,5.27228,-3.68901e-14,-1.56518,-2.67176e-14,-2.33121e-16,0.099995,2.99814,3.03928,74.0604,2.99814,3.03928,74.0604,2.99814,3.03928,74.0604,2.99814,3.03928,74.0604,2.37314,2.96869,95.2881,2.37314,2.96168,94.1668,2.37314,2.96035,93.9539,2.37314,2.95696,93.4109,2.37314,2.96637,94.9173,2.37314,2.96869,95.2881,2.37314,2.96168,94.1668,2.37314,2.96035,93.9539,2.37314,2.95696,93.4109,2.37314,2.96637,94.9173,2.37314,2.96637,94.9173,2.37314,2.96035,93.9539,2.37314,2.95696,93.4109,2.37314,2.96637,94.9173,2.37314,2.95696,93.4109,2.37314,2.96035,93.9539,2.37314,2.96869,95.2881,2.37314,2.96168,94.1668,2.37314,2.96168,94.1668,2.37314,2.96869,95.2881,
0.101,-1.37794e-06,4.00045,1.33718,-0.0113668,0.0102631,0.000398387,0.099995,-1.37794e-06,4.00045,-1.33718,-0.0113668,-0.0102631,-0.000398387,0.099995,-1.30822,4.00957,-6.635e-16,-0.000578812,4.99463e-13,-1.5708,0.099995,1.30822,3.9907,-1.81178e-16,-0.00061435,5.14985e-13,-1.5708,0.099995,0.0167329,2.721,4.40162e-14,-1.56571,7.20891e-12,-9.69132e-13,0.099995,-0.0167329,5.27927,-4.47763e-14,-1.56571,6.04881e-12,-8.07398e-13,0.099995,2.99814,3.03902,73.5872,2.99814,3.03902,73.5872,2.99814,3.04076,76.7238,2.99814,3.04076,76.7237,2.37314,2.96695,95.0097,2.37314,2.95999,93.8962,2.37314,2.95791,93.563,2.37314,2.95428,92.9831,2.37314,2.96491,94.6836,2.37314,2.96695,95.0097,2.37314,2.95999,93.8962,2.37314,2.95791,93.563,2.37314,2.95428,92.9832,2.37314,2.96491,94.6836,2.37314,2.96492,94.6845,2.37314,2.95941,93.8032,2.37314,2.95626,93.2991,2.37314,2.96492,94.6845,2.37314,2.95626,93.2991,2.37314,2.95941,93.8032,2.37314,2.96816,95.2036,2.37314,2.96,93.8968,2.37314,2.96,93.8968,2.37314,2.96816,95.2036,
