tgDataLogger2 started logging at time 04092024_091252, with 33 sensors on 1 senseable objects.
time,0_rod(prism_rod).X,0_rod(prism_rod).Y,0_rod(prism_rod).Z,0_rod(prism_rod).Euler1,0_rod(prism_rod).Euler2,0_rod(prism_rod).Euler3,0_rod(prism_rod).mass,1_rod(prism_rod).X,1_rod(prism_rod).Y,1_rod(prism_rod).Z,1_rod(prism_rod).Euler1,1_rod(prism_rod).Euler2,1_rod(prism_rod).Euler3,1_rod(prism_rod).mass,2_rod(prism_rod).X,2_rod(prism_rod).Y,2_rod(prism_rod).Z,2_rod(prism_rod).Euler1,2_rod(prism_rod).Euler2,2_rod(prism_rod).Euler3,2_rod(prism_rod).mass,3_rod(prism_rod).X,3_rod(prism_rod).Y,3_rod(prism_rod).Z,3_rod(prism_rod).Euler1,3_rod(prism_rod).Euler2,3_rod(prism_rod).Euler3,3_rod(prism_rod).mass,4_rod(prism_rod).X,4_rod(prism_rod).Y,4_rod(prism_rod).Z,4_rod(prism_rod).Euler1,4_rod(prism_rod).Euler2,4_rod(prism_rod).Euler3,4_rod(prism_rod).mass,5_rod(prism_rod).X,5_rod(prism_rod).Y,5_rod(prism_rod).Z,5_rod(prism_rod).Euler1,5_rod(prism_rod).Euler2,5_rod(prism_rod).Euler3,5_rod(prism_rod).mass,6_SCA(springs).RestLen,6_SCA(springs).CurrLen,6_SCA(springs).Tension,7_SCA(springs).RestLen,7_SCA(springs).CurrLen,7_SCA(springs).Tension,8_SCA(springs).RestLen,8_SCA(springs).CurrLen,8_SCA(springs).Tension,9_SCA(springs).RestLen,9_SCA(springs).CurrLen,9_SCA(springs).Tension,10_SCA(springs).RestLen,10_SCA(springs).CurrLen,10_SCA(springs).Tension,11_SCA(springs).RestLen,11_SCA(springs).CurrLen,11_SCA(springs).Tension,12_SCA(springs).RestLen,12_SCA(springs).CurrLen,12_SCA(springs).Tension,13_SCA(springs).RestLen,13_SCA(springs).CurrLen,13_SCA(springs).Tension,14_SCA(springs).RestLen,14_SCA(springs).CurrLen,14_SCA(springs).Tension,15_SCA(springs).RestLen,15_SCA(springs).CurrLen,15_SCA(springs).Tension,16_SCA(springs).RestLen,16_SCA(springs).CurrLen,16_SCA(springs).Tension,17_SCA(springs).RestLen,17_SCA(springs).CurrLen,17_SCA(springs).Tension,18_SCA(springs).RestLen,18_SCA(springs).CurrLen,18_SCA(springs).Tension,19_SCA(springs).RestLen,19_SCA(springs).CurrLen,19_SCA(springs).Tension,20_SCA(springs).RestLen,20_SCA(springs).CurrLen,20_SCA(springs).Tension,21_SCA(springs).RestLen,21_SCA(springs).CurrLen,21_SCA(springs).Tension,22_SCA(springs).RestLen,22_SCA(springs).CurrLen,22_SCA(springs).Tension,23_SCA(springs).RestLen,23_SCA(springs).CurrLen,23_SCA(springs).Tension,24_SCA(springs).RestLen,24_SCA(springs).CurrLen,24_SCA(springs).Tension,25_SCA(springs).RestLen,25_SCA(springs).CurrLen,25_SCA(springs).Tension,26_SCA(springs).RestLen,26_SCA(springs).CurrLen,26_SCA(springs).Tension,27_SCA(springs).RestLen,27_SCA(springs).CurrLen,27_SCA(springs).Tension,28_SCA(springs).RestLen,28_SCA(springs).CurrLen,28_SCA(springs).Tension,29_SCA(springs).RestLen,29_SCA(springs).CurrLen,29_SCA(springs).Tension,30_SCA(activated_cable).RestLen,30_SCA(activated_cable).CurrLen,30_SCA(activated_cable).Tension,31_SCA(activated_cable).RestLen,31_SCA(activated_cable).CurrLen,31_SCA(activated_cable).Tension,32_SCA(activated_cable).RestLen,32_SCA(activated_cable).CurrLen,32_SCA(activated_cable).Tension,
0.2001,-0.210257,3.13807,0.859692,-0.234499,0.122361,0.863093,0.0326286,0.626903,4.58058,-0.590902,-0.265599,0.0976356,0.854291,0.0326286,-0.786638,4.34625,0.0513393,-0.422967,-0.115214,-0.720419,0.0326286,1.19524,3.36204,0.217452,-0.455565,-0.0857021,-0.717301,0.0326286,-0.0645884,3.17333,-0.687089,-2.04531,-0.17035,0.0757293,0.0326286,0.472053,4.53373,0.974493,-1.99339,0.490785,0.0840838,0.0326286,2.98609,2.98522,0,2.98609,2.98504,0,2.98609,2.9858,0,2.98609,2.98492,0,2.98609,2.98471,0,2.98609,2.98559,0,2.98609,2.9859,0,2.98609,2.98549,0,2.98609,2.98619,0.792793,2.98609,2.98499,0,2.98609,2.98478,0,2.98609,2.98607,0,2.98609,2.98479,0,2.98609,2.98465,0,2.98609,2.98422,0,2.98609,2.98458,0,2.98609,2.98446,0,2.98609,2.98423,0,2.98609,2.98466,0,2.98609,2.9853,0,2.98609,2.98485,0,2.98609,2.98612,0.261325,2.98609,2.98615,0.468241,2.98609,2.98615,0.483722,5.81557,5.41546,0,5.81557,5.42521,0,5.81557,5.42214,0,
0.4002,0.359881,3.16862,1.1798,-0.618011,0.237703,0.938426,0.0326286,1.64455,4.37511,-0.293321,-0.772403,0.137216,0.878162,0.0326286,0.230508,4.65173,0.492201,-0.913488,0.117419,-0.693325,0.0326286,1.72693,2.86686,0.375903,-1.0183,0.218168,-0.711955,0.0326286,0.423592,3.39538,-0.414428,-2.41719,0.188689,-0.0407647,0.0326286,1.58571,4.20542,1.35638,-2.4595,0.342645,-0.0551346,0.0326286,2.98609,2.98694,7.04885,2.98609,2.98652,3.57357,2.98609,2.98613,0.341104,2.98609,2.98684,6.19818,2.98609,2.98688,6.52298,2.98609,2.98712,8.49477,2.98609,2.98666,4.73585,2.98609,2.9865,3.41518,2.98609,2.83338,0,2.98609,2.98677,5.65109,2.98609,2.98676,5.58097,2.98609,2.98719,9.13341,2.98609,2.98671,5.09438,2.98609,2.98634,2.05292,2.98609,2.98689,6.63721,2.98609,2.98676,5.51518,2.98609,2.98671,5.09355,2.98609,2.98628,1.5475,2.98609,2.98663,4.45454,2.98609,2.98699,7.43194,2.98609,2.98666,4.70212,2.98609,2.98667,4.78027,2.98609,2.98699,7.42545,2.98609,2.98675,5.43919,5.81557,5.42635,0,5.81557,5.37597,0,5.81557,5.47953,0,
0.6003,0.616067,3.08926,1.45371,-0.678736,0.365784,1.08594,0.0326286,2.09653,4.3714,0.219933,-0.766505,0.322767,1.04106,0.0326286,0.705976,4.6917,1.05617,-1.00688,0.231944,-0.581625,0.0326286,1.9809,2.87212,0.638293,-1.00651,0.184448,-0.596442,0.0326286,0.724658,3.56436,-0.0780692,-2.6214,0.429247,-0.19078,0.0326286,1.97854,3.93929,1.78716,-2.64841,0.421336,-0.223156,0.0326286,2.98609,2.98678,5.67949,2.98609,2.98629,1.62081,2.98609,2.98694,7.05771,2.98609,2.98679,5.77486,2.98609,2.98671,5.12027,2.98609,2.98718,9.0218,2.98609,2.98677,5.64596,2.98609,2.9871,8.38214,2.98609,2.96779,0,2.98609,2.98669,4.99598,2.98609,2.98708,8.21449,2.98609,2.9871,8.40309,2.98609,2.98689,6.58441,2.98609,2.84762,0,2.98609,2.98682,6.06673,2.98609,2.98699,7.46096,2.98609,2.98683,6.14384,2.98609,2.98681,5.9239,2.98609,2.98692,6.83897,2.98609,2.9869,6.71609,2.98609,2.98672,5.19774,2.98609,2.98677,5.61981,2.98609,2.98698,7.38042,2.98609,2.98658,4.06783,5.81557,5.46669,0,5.81557,5.4141,0,5.81557,5.38329,0,
0.8004,0.913618,3.11402,1.74181,-0.828799,0.39544,1.20037,0.0326286,2.73513,4.26234,0.746562,-0.962574,0.333442,1.17804,0.0326286,1.33598,4.75058,1.57698,-1.15999,0.315696,-0.461916,0.0326286,2.29441,2.69898,0.949112,-1.12314,0.177193,-0.444817,0.0326286,1.21808,3.72455,0.218452,-2.86133,0.545027,-0.296964,0.0326286,2.37863,3.70427,2.23486,-2.89335,0.532787,-0.343237,0.0326286,2.98609,2.98705,7.97456,2.98609,2.90384,0,2.98609,2.98731,10.1028,2.98609,2.98719,9.12442,2.98609,2.98677,5.61392,2.98609,2.98722,9.36358,2.98609,2.98708,8.20362,2.98609,2.98677,5.63117,2.98609,2.9873,10.0553,2.98609,2.98719,9.14912,2.98609,2.98713,8.63665,2.98609,2.98709,8.28728,2.98609,2.98736,10.5096,2.98609,2.95824,0,2.98609,2.98707,8.08029,2.98609,2.87659,0,2.98609,2.98686,6.39613,2.98609,2.98721,9.24562,2.98609,2.98722,9.38931,2.98609,2.98697,7.29201,2.98609,2.98717,8.94558,2.98609,2.9872,9.23166,2.98609,2.98713,8.59333,2.98609,2.9868,5.83802,5.81557,5.49831,0,5.81557,5.51736,0,5.81557,5.43843,0,
1.0005,0.945676,3.03382,1.90545,-0.742413,0.464437,1.17161,0.0326286,2.66596,4.2728,0.720495,-0.794621,0.441733,1.16817,0.0326286,1.28705,4.72374,1.67947,-1.1393,0.328714,-0.537569,0.0326286,2.27467,2.73971,0.933307,-1.14164,0.25633,-0.514145,0.0326286,1.12595,3.67343,0.312191,-2.84577,0.536895,-0.327197,0.0326286,2.43513,3.68447,2.29694,-2.89246,0.519144,-0.363073,0.0326286,2.98609,2.98679,5.78572,2.98609,2.76785,0,2.98609,2.98694,7.07767,2.98609,2.98695,7.12895,2.98609,2.9866,4.21347,2.98609,2.98684,6.20458,2.98609,2.98671,5.10918,2.98609,2.98683,6.15819,2.98609,2.98698,7.36749,2.98609,2.98683,6.15099,2.98609,2.98684,6.24898,2.98609,2.98677,5.65616,2.98609,2.98684,6.24936,2.98609,2.98618,0.719538,2.98609,2.98673,5.28583,2.98609,2.98061,0,2.98609,2.98667,4.79503,2.98609,2.98714,8.66936,2.98609,2.98702,7.74301,2.98609,2.98665,4.61885,2.98609,2.98702,7.72382,2.98609,2.9871,8.38323,2.98609,2.9868,5.87145,2.98609,2.98665,4.67121,5.81557,5.49356,0,5.81557,5.5243,0,5.81557,5.37867,0,
1.2006,0.879856,3.06194,1.73515,-0.802308,0.427464,1.17408,0.0326286,2.57129,4.25566,0.641548,-0.84853,0.410068,1.1406,0.0326286,1.20996,4.687,1.51661,-1.13422,0.323485,-0.518313,0.0326286,2.23145,2.75751,0.899401,-1.17827,0.330811,-0.547862,0.0326286,1.08037,3.68348,0.253152,-2.77901,0.375833,-0.281258,0.0326286,2.36043,3.67468,2.1649,-2.84494,0.480207,-0.335724,0.0326286,2.98609,2.98646,3.0921,2.98609,2.97943,0,2.98609,2.98719,9.15381,2.98609,2.98685,6.29559,2.98609,2.98639,2.48878,2.98609,2.98705,7.92674,2.98609,2.98702,7.69737,2.98609,2.98746,11.3708,2.98609,2.9869,6.71384,2.98609,2.9868,5.91532,2.98609,2.9874,10.8347,2.98609,2.98689,6.583,2.98609,2.9878,14.2,2.98609,2.82031,0,2.98609,2.98661,4.26902,2.98609,2.98701,7.59986,2.98609,2.98701,7.63973,2.98609,2.98746,11.3375,2.98609,2.98741,10.9306,2.98609,2.98677,5.62019,2.98609,2.98701,7.59174,2.98609,2.98719,9.12847,2.98609,2.98682,6.00166,2.98609,2.98654,3.72192,5.81557,5.48109,0,5.81557,5.42645,0,5.81557,5.37038,0,
1.4007,0.838821,3.03039,1.77011,-0.767417,0.429299,1.19587,0.0326286,2.61444,4.27331,0.656834,-0.82765,0.407282,1.15866,0.0326286,1.18604,4.72605,1.54907,-1.12122,0.300584,-0.502655,0.0326286,2.25525,2.74043,0.919151,-1.15743,0.283201,-0.528154,0.0326286,1.07383,3.6828,0.232044,-2.83855,0.584379,-0.302982,0.0326286,2.37028,3.67449,2.23322,-2.81796,0.416599,-0.322621,0.0326286,2.98609,2.98642,2.75223,2.98609,2.949,0,2.98609,2.98709,8.31516,2.98609,2.9865,3.36094,2.98609,2.98643,2.7654,2.98609,2.98672,5.25034,2.98609,2.9864,2.51974,2.98609,2.98693,6.949,2.98609,2.98651,3.50053,2.98609,2.98641,2.61393,2.98609,2.9868,5.88289,2.98609,2.98665,4.63029,2.98609,2.98713,8.65248,2.98609,2.79814,0,2.98609,2.98642,2.74754,2.98609,2.98662,4.36352,2.98609,2.9864,2.59101,2.98609,2.9869,6.69874,2.98609,2.98679,5.80028,2.98609,2.98643,2.76639,2.98609,2.9866,4.22349,2.98609,2.98667,4.83643,2.98609,2.98651,3.48617,2.98609,2.98642,2.69719,5.81557,5.52229,0,5.81557,5.4615,0,5.81557,5.37766,0,
1.6008,0.883093,3.02266,1.84947,-0.787257,0.439076,1.16487,0.0326286,2.63096,4.275,0.680533,-0.857114,0.410654,1.14018,0.0326286,1.22355,4.72723,1.62264,-1.11229,0.28949,-0.520821,0.0326286,2.25568,2.74058,0.918678,-1.14878,0.269048,-0.525341,0.0326286,1.08145,3.67467,0.272389,-2.83453,0.538638,-0.314612,0.0326286,2.40123,3.67753,2.26761,-2.85216,0.45526,-0.344659,0.0326286,2.98609,2.98662,4.40037,2.98609,2.84291,0,2.98609,2.98733,10.3035,2.98609,2.98674,5.38226,2.98609,2.98653,3.60792,2.98609,2.98689,6.60908,2.98609,2.98664,4.52929,2.98609,2.98704,7.86363,2.98609,2.9867,5.04794,2.98609,2.98666,4.68236,2.98609,2.98698,7.40614,2.98609,2.9868,5.84229,2.98609,2.98726,9.71953,2.98609,2.89374,0,2.98609,2.98663,4.46064,2.98609,2.98663,4.44849,2.98609,2.98666,4.75387,2.98609,2.98705,7.94185,2.98609,2.987,7.52533,2.98609,2.98665,4.66281,2.98609,2.98682,6.00404,2.98609,2.98691,6.79152,2.98609,2.98674,5.34934,2.98609,2.98652,3.56723,5.81557,5.5119,0,5.81557,5.4995,0,5.81557,5.37538,0,
1.8009,0.93446,3.02825,1.91356,-0.828198,0.438012,1.12659,0.0326286,2.64417,4.2733,0.701876,-0.858071,0.424761,1.13303,0.0326286,1.27117,4.72485,1.67976,-1.11138,0.286,-0.539739,0.0326286,2.25519,2.74114,0.918475,-1.15296,0.276492,-0.526925,0.0326286,1.09794,3.67108,0.311494,-2.84638,0.529015,-0.331272,0.0326286,2.43232,3.68381,2.28762,-2.8596,0.428519,-0.350836,0.0326286,2.98609,2.98658,4.02054,2.98609,2.75719,0,2.98609,2.98707,8.11665,2.98609,2.98668,4.90918,2.98609,2.98649,3.32406,2.98609,2.98671,5.15205,2.98609,2.98651,3.48407,2.98609,2.98689,6.65431,2.98609,2.98674,5.38209,2.98609,2.98659,4.11501,2.98609,2.98683,6.15692,2.98609,2.98665,4.64731,2.98609,2.98684,6.2362,2.98609,2.98626,1.41354,2.98609,2.98653,3.64137,2.98609,2.98643,2.83116,2.98609,2.98648,3.26012,2.98609,2.987,7.57782,2.98609,2.9869,6.71744,2.98609,2.98649,3.29574,2.98609,2.98681,5.98317,2.98609,2.98689,6.62819,2.98609,2.98656,3.89806,2.98609,2.98656,3.91505,5.81557,5.49402,0,5.81557,5.52683,0,5.81557,5.37684,0,
2.001,0.920736,3.02713,1.89301,-0.839163,0.428973,1.12839,0.0326286,2.63754,4.27236,0.696145,-0.865084,0.417651,1.13207,0.0326286,1.25723,4.72249,1.66188,-1.10838,0.282603,-0.533366,0.0326286,2.25436,2.74251,0.918947,-1.15604,0.28281,-0.528132,0.0326286,1.0935,3.67171,0.302348,-2.82779,0.493163,-0.319284,0.0326286,2.42201,3.68132,2.27883,-2.84683,0.410687,-0.34511,0.0326286,2.98609,2.98663,4.50038,2.98609,2.7847,0,2.98609,2.98716,8.90612,2.98609,2.98672,5.18955,2.98609,2.98652,3.57108,2.98609,2.98685,6.2681,2.98609,2.9866,4.23259,2.98609,2.98699,7.44903,2.98609,2.98662,4.36572,2.98609,2.98663,4.43305,2.98609,2.98694,7.06569,2.98609,2.98677,5.62481,2.98609,2.98726,9.7157,2.98609,2.95771,0,2.98609,2.98664,4.52045,2.98609,2.98661,4.32708,2.98609,2.98661,4.27869,2.98609,2.98698,7.38037,2.98609,2.98694,7.00206,2.98609,2.98663,4.43762,2.98609,2.9868,5.83946,2.98609,2.98688,6.54963,2.98609,2.98671,5.09612,2.98609,2.98653,3.60161,5.81457,5.49674,0,5.81457,5.51558,0,5.81457,5.37504,0,
